publications,country,ai_concept,pub_type,impact_level,year
29.630456626994732,EU27,All AI research,All publication types,All works,2000
29.234549218589297,EU27,All AI research,All publication types,All works,2001
23.077307096684315,EU27,All AI research,All publication types,All works,2002
23.13669168554367,EU27,All AI research,All publication types,All works,2003
24.349444642305606,EU27,All AI research,All publication types,All works,2004
22.518300069341663,EU27,All AI research,All publication types,All works,2005
22.510734010139696,EU27,All AI research,All publication types,All works,2006
23.331485934703483,EU27,All AI research,All publication types,All works,2007
22.545771880899736,EU27,All AI research,All publication types,All works,2008
22.79954292639947,EU27,All AI research,All publication types,All works,2009
22.769247223875603,EU27,All AI research,All publication types,All works,2010
23.148591304014975,EU27,All AI research,All publication types,All works,2011
23.901677199038804,EU27,All AI research,All publication types,All works,2012
24.411293697441646,EU27,All AI research,All publication types,All works,2013
24.729075030692695,EU27,All AI research,All publication types,All works,2014
23.257575147878967,EU27,All AI research,All publication types,All works,2015
22.723591270002974,EU27,All AI research,All publication types,All works,2016
20.87615970732929,EU27,All AI research,All publication types,All works,2017
19.147279472287227,EU27,All AI research,All publication types,All works,2018
18.646092172895013,EU27,All AI research,All publication types,All works,2019
17.29701773489627,EU27,All AI research,All publication types,All works,2020
16.201458526278287,EU27,All AI research,All publication types,All works,2021
15.300651737507456,EU27,All AI research,All publication types,All works,2022
15.07339696202491,EU27,All AI research,All publication types,All works,2023
13.305667733665839,EU27,All AI research,All publication types,All works,2024
12.773067416409395,EU27,All AI research,All publication types,All works,2025
4.851420228234979,CHN,All AI research,All publication types,All works,2000
6.437003814055859,CHN,All AI research,All publication types,All works,2001
6.527207632345584,CHN,All AI research,All publication types,All works,2002
9.489975693520899,CHN,All AI research,All publication types,All works,2003
15.336831112238443,CHN,All AI research,All publication types,All works,2004
18.155407280850522,CHN,All AI research,All publication types,All works,2005
22.85428682970142,CHN,All AI research,All publication types,All works,2006
25.737042666392448,CHN,All AI research,All publication types,All works,2007
28.253649867949065,CHN,All AI research,All publication types,All works,2008
29.131797712558374,CHN,All AI research,All publication types,All works,2009
28.73267879555499,CHN,All AI research,All publication types,All works,2010
26.296070543036972,CHN,All AI research,All publication types,All works,2011
23.00566114502866,CHN,All AI research,All publication types,All works,2012
21.100734704228845,CHN,All AI research,All publication types,All works,2013
18.997595161586634,CHN,All AI research,All publication types,All works,2014
16.98784738210828,CHN,All AI research,All publication types,All works,2015
15.416631633984027,CHN,All AI research,All publication types,All works,2016
16.21861144970761,CHN,All AI research,All publication types,All works,2017
18.651964857076926,CHN,All AI research,All publication types,All works,2018
20.284242983703592,CHN,All AI research,All publication types,All works,2019
20.57326978179808,CHN,All AI research,All publication types,All works,2020
23.66711911613323,CHN,All AI research,All publication types,All works,2021
29.190312042650252,CHN,All AI research,All publication types,All works,2022
29.64000175417621,CHN,All AI research,All publication types,All works,2023
33.10848633433243,CHN,All AI research,All publication types,All works,2024
34.79812975319674,CHN,All AI research,All publication types,All works,2025
27.619497474433746,USA,All AI research,All publication types,All works,2000
26.27361558954482,USA,All AI research,All publication types,All works,2001
30.2459771462674,USA,All AI research,All publication types,All works,2002
28.648773888547854,USA,All AI research,All publication types,All works,2003
21.739985986045607,USA,All AI research,All publication types,All works,2004
22.871514731560413,USA,All AI research,All publication types,All works,2005
18.69719421094669,USA,All AI research,All publication types,All works,2006
17.504846624539574,USA,All AI research,All publication types,All works,2007
15.688014175323636,USA,All AI research,All publication types,All works,2008
